nodes,gamma,tours,cbf_cost,cbf_time,rnf_cost,rnf_time,heur_cost,heur_time
15,50,1,3887.642845584811,7.826000213623047,3887.6428571428573,0.07700014114379883,3887.642857142857,25.029793977737427
15,50,2,6986.785430564192,600.6029999256134,6986.785714285714,0.8229999542236328,7072.785714285715,65.99314284324646
15,50,6,19550.35567801923,600.1100001335144,19550.35702956467,3.2260000705718994,19675.857142857145,133.22071528434753
15,100,1,3848.142857142857,141.35599994659424,3848.1428571428573,0.12199997901916504,3848.142857142857,23.201385021209717
15,100,2,6952.285430565647,600.1170001029968,6947.285714285715,1.0169999599456787,7038.285714285714,39.46881318092346
15,100,6,19323.857075547297,600.1169998645782,19313.856888221522,7.448999881744385,19616.857142857145,102.80908632278442
50,50,1,5691.642726909723,600.0789999961853,5691.642857142857,0.11299991607666016,5691.642857142857,41.205222368240356
50,50,2,8230.785714285714,600.0960001945496,8225.785707541203,1.0320000648498535,8225.785714285714,80.52832794189453
50,50,6,19272.357142857138,600.1070001125336,19003.35714285714,33.47199988365173,19018.357142857134,303.59249687194824
50,100,1,5470.642857142857,600.1210000514984,5465.642857142857,0.7100000381469727,5465.642857142857,32.677855491638184
50,100,2,8004.785714285714,600.1480000019073,7999.784668039259,2.5920000076293945,7999.785714285714,73.42059278488159
50,100,6,18697.856347235385,600.2420001029968,18641.85714285714,157.50499987602234,18646.857142857134,194.30886912345886
